Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Dalada maligawa kurunagela,Heritage,Kurunagela,This is an ancient Dalada maligawa and ruins of king's palace of kurunegala kingdom. It is still a doomed place. No attention from archaeological department.,Curious,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk8BDg4OExETJhUVJk81LTVPT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT//AABEIAIoA9gMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAADBAECBQAGB//EADsQAAIBAwIEAwUIAQIGAwAAAAECAwAEERIhEzFBUQUiYTJxgZGhFCNCscHR4fAGUvEVJDNicoIWU8L/xAAYAQADAQEAAAAAAAAAAAAAAAABAgMABP/EACIRAAICAQQCAwEAAAAAAAAAAAABAhEhAxIxQSJRMmFxE//aAAwDAQACEQMRAD8AUkliZFxqZFbSzbDIOeefTf5ioWVYpQykldPl0n2vmP070BONFAHGDpJIUnY5G+ai0ZIyxkBVWwxYtsBjqfnXKpp8HIlRpxSTXERi1Npb29tKjkfy2rrixZY3aGSPhkkJrOQPTuf7tSzZ4fEtkAhIDYUBTj+/nVY7lhIZJPbztnYqcnlVG4v5Au2Z6288UqpJG44ewYg6XH7DaiiVwBvz3Gk5OM75rauEsp4zFw0WUJqXI/8AyvtAbjb0rIkUo65WI4XZ1YYZT6bEbY50s4Ju+inISHDwa4tRdMmRcY2HLHrT94pWNeMhbUNWoeUnI6dxt2FJQGOG41l1U6ORUBTnG471d7mHLSMwZUGEBAxjvg/GoOGRNvYUK8WVMhZZAMaen13+nWrqyzMw4TalbDEHcHHf+KJGymMiIOQOunSV275P55rhJG8R0xvK+oEM0mn/AH61u6F7FUhnW5WMQjSebg4z/FMOpR2aOJmAJYqp9kdck8/lTkAWVSTI4VQdsebIOw+lEitx/wBcLhWBEgYZPL0rVK8DALKdhcRu6AgKQ2CdjjAOPn9O9NSW6SlGIPEVtSsFGkjHID96X0cHxBVgCso6jmR291HYtx45FOgIRheQPcA/v2qkW0M5dHCwktbeSaNl0yg4dsKR69cdBty2rMnW58Tu7e3tkJiA+9YtpwoOWJIp7xW6kmgFuhkCrk7Pt33xQ7G2uFlPCBdyvmJXbG2PhTRpSwGOGOWMI0zOWjSNTgiVdJk/7vX41Fr4IHRZCqI5lOrTjcdOVM+KtAiy3VzdINJ21gYJ9BWBef5HcXBFtYzRQ6sappG0geuf2qulurjAUm2eku7nw7wWPizHSDjy4ySxGNhnf4Ura+O+KXz8Hwux4ETthJ7nI0jvoH61gf8ADPDTKLy5/wAjuZ7xN9cMZYA46HBI+dalpbQG3V7b/LbmIk7pIyZXvsetdUaY6VGrff47Hc8P/iF9d3MspwZS2hU9y8h/FZk/+JyW84e2utPI6kJXSeWw3Jz2zQWkv3lki/8AkrXAGAoiChn6dMb8qbi8NnlgW5nfxF1RypiecpnPXAxtk0yTDKVGLdWcwvyl/Jc3oiRSRqyRzwG3236V6ZfFljt0T7HcxjGhgsWynnprP1pa3EqWtrpifAwgOx6nfriuur8QtxRGzkxlWQE+UnnnHPb86WU4rFk35AbY6bRytvgtIyiQOo0ntzFUn+74LafvGGXU/kaIZ+Fcxsqo0e+FU6ip6dPqa6aae6mXjGNjsOWDjHU/3nUnTXIJehe4ZNzAg9ob45nv8z8qorvGCDzPc88VFylxqLRNhAQA2QAPTH7VSUyI5EjHhMuCqNjJ9PjUdik3bFyEuGWQKMFnxltDDOD1O+1cz4ZGMfDZ8ZAGynqfyqLRo4omJYmXfWmDscDHv9KZZhLEszAM8Y82x2HU47U1JLA6tOkIy7FGi0lcY15O+9dVThnEKrnQDqHIZzjYfSuoJ+iiiyscSHCy+y22ssAffVnjixHEGgEbIQdLAlyOpP6UrfyyLhdUbB1/Ep3yO/SotV+6UvtIDgEkbHPL3/CuJXVsjVjLz/ZZNMbEqQGJPWrXE8LxrMOEzgk57nFCk8yBy4G5UEHJ+NdJAqYVGGsrnzbED4VRZGjGMmQHmeZxCGdFfqPZ3+Y91NvG0jkQ6JZMBWCupHLcjJ35fSspLVbWMSTy6Z9WVTUAMDJ32Pw5U3ayfaNHAhk4gVG3GkHcdeh9Kr+cCuuhS6d1uCjeRCQAcjST22PpvQb1uIpcho5VGNK8mXbf4ZrbvLd+GitAja8lQy6dZz17Hf61mN4hG1yUmhZEjUBxkkp6Z/imTQXLhIf8MEgtwXMYIGlFzr1fDkPlTsMiokn2gkZbA9T/AHf5V59LqM6mhhEcYXYtg4HptTVr4gTMryHLA4VmGe3T3VOei27Qjj2eh4PHhchBxVbnpJyDz9Ca4suNEkjDpkDAx60vb+Jqsiwqshy5V2yBp9/1rRuTFcw6iWGgYXBzjHQ1NXwwpiypE9/HKSzcMFW07ZBH+1HufJbPw2OeYAO/5UlqaQbHT/pJbnj+mh3fiKwkJqJXmWPNR1xVHFh+QNlkf7w4ZWOCuojUatHcuysuWVgRtnG4611v4pHMzqkYKgeZsYIz3FAE3DYsuptWRy5e/wClB7oAaoNH4S/i1ykl+xaJfYUP7Xpv0r0Mfh/h3h4T7PaRJkdYwMH1J/WspJCyZYMuoc8/SiQTlSftM0zRqMKikHFdOnqZApt4GjHGb4PFMscLox/Dzz27VVJmDyOwjKLkBtA3YDnyqZZvD5lfh64JBHlQBhTty/P501YOtvDplduKw1AE7Y7Z7VVNSyhkvsz2luJQVEhYtsyiPBHaqXF9OoNjAGLjdm17H49fdWpfeJKREtkukkZLFcY7bV524kuGvjNdLK5T2GQDIz17dMfGpbo3XYHFXyGA0QiSeYlCT93rAYbeu/SrWAhkm0JAHVVZmDA69/Tpv37Z60tCHuIJ2nWZZGfKk4I/ejR644hGGIY4AbONhn9zU0kmMnTC3ELR6daR8M82jcHOM9vU8ztWbLKZJmCxogAHuPrnrRyzGED2VORjH1pSRjhgcF9PJhQm0uAXbLBoIkDu4Zh0AyB6+6mFW1vGjlkuIrZSNOhFwQB1I7nekY7YSNqwcMcbdN+fyqJknWbh6C+2rIwTpHehGa20HCGpzEHcKzSrjKnmfl0rmmVIm4GMMPZm84Ox6jB+H7Uu2vhAqMl+eBjH9/Wq6ZFKRDOo/hztj9KD+kBXeBaNpUuT5DlE0LnPs5z8amrzOYXC/aHO2cKu9dVYrBXfIhLhhDHFHpbBy+2rPPA+tXjtMvx4ACFYFhy+O9Wy2CCjMyAkBQBntXW6unE8rI+2d8c/6a5P0lGQtAq85JNBI232Oaqzyvb3M2rLeypXbODjP970zNG8cAUqjKDldR5fvVEAHhrMAoZm3x796eDyx9N8sV8IkWa5xeIHGklAwUqe+dRGOnKvUws+NGliqJhWXzMB0OeteOs72SxnklhGhlICLjOR+3LlXo45r6fw5ftAMc6Yd3xp0qRkny+/pn502ohJQfKNO2T7OhjZ9cW41cmHf8ydqBN4cjI4TBSQgtHxCNRHLPpWdB4gZtTRyrpjbEkiqTudu3xrQN00EbyTXCBFcR5QajESB8zy2pIppks2eXuDNZ3nBe14GWOQrbHP6UKJsOS5GAeTJtzovjF5JeXCyTyD7vZI1Gygnp3pe1t5LqM6pNDqhPmX2iATjfbNdaeMl18bZpWM66wkgAQZYlDsCOv8VtwX1rPHI3CIcLjoykD09a8rbQmGWQlwXwAp1+Uds46ctq9HbNClq07tJJhMsoyR8DzxU9SKYtZwDVIIi1xqdk5rnA83fb+71nTXZdwiRgg+zt8v3p/xFfuhwFcFhqCHbc/rSkFncO5jkjHEbBjQc2PPAz76Ct5Fgm3YWBEjYJldenc6celNwRqjAE6G6Z2JqtrGDHG1zHm4RTqCHOOg5dvTP61uPf2HiTRW8cTgxqBrxyPvoOFptse1ywcbEwhFiBBPPt86DcIiqPZ1LuWFUFvdWkza5DLbkZGvJI9KkRcfSVwFwTgjf/ekVoTBQyKGEjsfMNx2qXllllRoyTHnc4q5siRoWYheeScHvtQHdEk4YVwse+M5yaaWEag8ZPEaOUlvLttz5Vcxo7HSzaticilmMjMGXhgjfJ201DHhnizAnl1GN+o70IpcmaLthzhuf4Su+rfrmgHUdxgk9KmW6biELpbOCMDuM57UC5fVNn2Qw5b7Ej6+78q3ZkElhm14mkRFPM8yKoYY3AWKRfKSSxXn7qqkrHGlHkx35USDU8zPJkEHKB+X15fzWGWCrp5l4SSFuZyeZ9KErTOxiSJmLMQSDnpy/KnVQ4a7dkBKkIxJ2G/LNWtblp41wAvDbzKBjUvUnv8AGp4TMqYoytbRqZYyqA+Yld+f8Ypg290IOKGGknPLOn0zV7iKOWOOCCVv+ozYbdVU/oe1aFzc2y2scEPDaZWDN5dwDz5DB6/Wn3XwOlE8f4oklvOro2OIMkkYGa6i+MSF7sRXILhRqQEjYH3bVNUi3RRSroiO7Im0zIyyHO4x/OOlX47cMtLEVBBAGTzpJL8rISkCauwXAJNFEgEINxJqYt5lA2C1KUUQS8hmCfdS2lQfjtyxTKXEKQq0kavEzHCBeY7AdDWKwaBzCrnUDtvuR/TR+JLc+RM7dufvwOlNGFFYwpMJeWrXk0b2iRiMcmyMrjnt/TWf4r4jPxhDZyzR2yRCFd/bUDfPv51vWljHpuE+9AK6HGvYjfljkM15q+tmgZo3DAjlvk7dKrGmMviVs/Ebi3ZzC7qzDGQ3PpTMDsMqjRyEsGKb4PvpCBC7BgcjOMdjWs6W/wBnYcNhIxGB0U9TnrRfJNrJm3B/5mTy4yCQM+zWhAgj8PLPcDW4AAPf4+lJO5MrK4BI2DdR6ZratIoTZoNOp5FPQbdvyrN0impiIhNcEHyCMPsTpGDjOMb9+dei8Mw1sA66UKZJJx1rzatIjujwiV9WxPLNemSG2e0aOOQxKI8yaiPKdv2rSliiPaoUuIVimOhxImcGU7r60e2hmsL8zTBn0A6G1c8/3GKYhPh8BS3QGVAQ2tmBHvNIXknCujFA54QbONXL3GkapZAo+LsaQQRxMyyklsFVA60BhIsRvIo2TBGUI81F8PuYhCZJZRG5ONLnZjyB9DTc/i3/ACzRCQDVsGXc+uc1rSYMZsSbxB5I42eVw5X2VH0phbrUdZwSBkgjl696SQrrZDkruV1YJ9+9WmlUeaJVyfKdXbvtQeeApI0I7pfMUyp6LjY/E1AMbniJiIDZsrnHwrKjmczLHqGCcKOePdTytjK7DO+DStVhgYzJGrxmNGHtAFlGTikJpJo2+zalwRka8AH40xbOZGLu5KrjSpGwPf1qS0ZjbixoRnYA5K/E0bNRnubtSpK7bKVDZ/KjZkZQAQ+SMnH6VAiXh9FAyNKtlj0q8ag8RmdQNuWfhvW/A0kMRQoxRWXS2nIA69zn3/pR3klSQIVEjKO/tms6K9C6YpIwhYYGrYirRSspN0rHBGCJAM4/UbUskZnSvOztFJGFU7gBOW2dj0qiuiJrhIBjUBm/iivfRMAiIGz1Xv1xSpaLmFycH2etHaqFeQoulBZQJJBIPUcuu3v+tCed3uddvpZ5BjIGMDarW9y6oY7d1QE4JPMen5fSqkzzDhxjUBuTnYDHemSoFCskUhmyUBYLgkYNRRpbnR5YdBPUnc+6upilSMAqZN0ckbYGN6OTIwMfmAGxGc0mGzC5AOqMD6bVp+CKbmVU1HUuWzn9Of8AtR22U220HnYi2LuQGbAGTywAOVSiLbMU1snkEnEB5HHalfEJtbsgG0R0EDvj981M1xmwtHfc4ZGBG2AdqFD6ltUbHhU8hkkglyq6cjA258/rS/jloQglQN5j5t+Q70D/AB0s1y2c6ETHv3GP1rYulafwyZVyGGfzrcM6NLTvRPLeHw6J9eknB79ffTcaJJkey2rf6ZqIQJGGsEAqclV09D2rrKTU8kjIBhcbjkc07OZJtqwIhzG2kYxlvlWnau0TRMhIwqnb8/73qiQnQ6gY+7bb+++rXIEd40AkaIwqnLOT5QdqVeRTXXgNm6QNlkUqOeBtt6dKKLpDDI8PlwMgZwc5/mk2mj4qBNTSHAYsNixHTFU+5jsLtlwrDB8hJB3HelcGjljF2OwRwTtDI9syIXwSo8rH9aN4nawaXFvoBXTjU2Adjneg2RdYBGG8qsuD8T/NUu5pYpsAFwD5hkbbc8Gnw1k6p6dQB2Fqt5LlmCoeTBc437Gr3bpZNo/0MVKgDYd6Yt5IY5ERSUVQNaryI2z8av4YI7jxB3IyC2N987etJGNkIw3Ga80cshiZgDzQjbJ70O1CmV45M+by62Owr0U1hbNDKWjXKQysCB6bdK8ktypVUJGNtJqjhWDOFGwdFrNuQwc4yu4G29GfEoDIcCPc9fp7qQR5UiVyBw1/GGyM55YqtvLiV0J3Y4Qg5Byaltt2LtYzPDomKEvgb8QtjPwG1MQyyMgDuCFGAc5J9aHJBkshCsoHQ+vPHwqqIqxpZs7LxJNwo3HlzQflwZjcSpOhMiI22xIGW25CkL23jVfOGLFscLqw35HftQortob0xwz8Qq2GyDsNuv7US/d5ZE0alAbDqrA6TjA59c/maZKhmmCitIFciVODuoUEbE+n70+ttCkYWOVGPIq2wJpWBjPCJeGzQx7ghD5sjOe1EMqJbM6x5K7EHGcn8q0ibR0aqGZhpY5AA5Z+Qq7q8qgomwONIUN7+uaYmFvGsbwx4ZkBYvk7nsDy55q9rZiQcQXSQtqwdS4z3xUm32MkhI2SmVw4izEdypzn0okLFVMqOYY0BAUDOT7uXx9KJLdPDczsOG0SMCQfa04+frmiLE7qtxINBAOpjuO+2/5UafI6j6MS5hSV1eRmQMPwjOcY3xXUx4uIJSn2XU4XpuDy9K6mKKLPNRqZJLiM51NG2OxIwa2/8RT/AJee50+cyBVI938msq1ThXMcrZyGyeXWvR+CNFZeDvoJOS7HUMaedVbKwhk88rcSe7UqHGJGG/8ApOam4LSWFmgjLO7PpUczvVrSIJM2gsTwXA1HGWYfua1LZo4FgLAcRQcHqBneixVDOR/w21Xw6yETEGdyGc5zg9hV4pdM7xEjEmrbvzqqSiVwZ10rjIA22HX0rOu5ysqSLnynbJ9aXs6l4xo5sLKSo8qqRjtjaqWsUcMukupWWQH4Y/3oUM/DmlDr94kh2A9oZ3FNtChjCalLLuhPX+ina6IJ9hkbVJcMAd0YADpmmLiVI/EhLFFC+uNCxbnyHUnAHwpHEimQoN8eZTuf5FTeFSRJKBodQfd0Az8qWHiykoqUTXUWVxb8OSC3HFJwVOSCdvLgc8V56/spfDbK5SRmeMsgjkx7QDEc+tWiu4LJgY5wik5wFyG95rUW8juPDDDdQ6oWGnIODvk5BPuFWk4tENjDWKaoxgjfA58udKeIMUuFxp1OxG/UU34bw3i0lih2yAuc86p4nHFHNETFHM3mKsxK6R7v1qVYKSpraEtrPjxyTSsoWMHSF2Occ80t/jrs9zNq6tjPw/mpikmt4+I00SJoJcbaQO2c88CieELb29wghBOtdRYtnUxXPyoxFjBRRsSNmC4z0gk/Kvn+YmhGEdxnchDgcute64qcKYB/M0L7YI3wa8PPJKgQOTvjGrkaaQso3wFtWVFMTphh7LFiCPh8q27ORGmmVI1Iij1alGDuMVlCeOa3byYZccvf2puymMIwWAM7hexwBz+ZFTEUHeRiSRlXLMPMw1EHOd/786FdSkSwJAAGOog888uvxNAvYmeQFZdUm5KAY5Afn+lUgeSW/teJEokeJwVI9kDG/wBKWMRXptyCWUZeeVjFLnXnVj574xW4wxYlSmkEnUwTnuevKkYpA4GseyM4J5+lHkhktn12k33e5LE9eopqLfyEHvIl8NtI7RZThPMuxwMDHTFKwo09wqhikB21cse89vfWxPFHcDFxHGZU2BUEbdaHPcw23g5CIM6Bhj1OO3ekbohODTGrKGS3tZYynFAGWXOo7Y27mkfE/GsRPbxW72ug42bOdtxilYozc2GtNazM4xp5N0yTzGKz7jwW7N4YklwvVzy69K0a5YqidBfPNd/euzNIugnl0/itO58anNqDrljTVpGB6dT8PzrCt7Jl8QWOSQjRHxTheWOYrWPhU5QfZ7kqTIxCscj0+FM6GasmzkSV347YYdQd66gi0uorqWQOpK4jbGwzjO2aijgol9m63hMerEioB1KgA/lV1gUWf2VYZFTGQSRvty+W/wAKavJDaqrONeRuqgjNPPcQ/Z4tUgUSAY8wONqyiiupLbKjDn8IiNpJiZ4ZSDpVSN+3TlsKTs/C5IY41vTG2jPkV8knOe2PrWvMkLXLl3Vo1CkMSN+mx9/60wEtixVCoycAagMZA9aekKpC/wBjsHRZ5NfDJ0Oc7ofX0pXxHwaGaRVtJ0EeoEhmyR7qeuiLZlIfiRuhUIU3Jx05bV5BZbqO+lTSRq9kkcyoG1HAbZuW3hfhsvi0zyO+qZBvGdgeWfp+dCfwm9VAuA7xtgFWxqXPT3UpFwby2haaJo52YKcsQwJ5MMcxXpvD7aW2sY1llaSXmzOcn3UORoLOTHmt721bi/Zhcgb6dOce6imGN3XXbzwh/NlVOnJ3wa2tLBs5QZ99X1KNydqXZmy2xXZmSeDW6Q8SWQLEMHU74AJ250pcW6x2jpZASEBSmhw2+d/TGKa/yJ45PCJYkbUxZdhvtkGvN2Fk0sJCNgK2M564FaqeRZLpI1Ib5bMRQyW78ZUGTts2c4ppLi2vMSXdsxBG2ojn126jOKy18OlQDUSzA89VdweCn3iNw3AWQE89x8qa1wIoNO2ent7bw37Pq1Jq5kADn2rEkmKeIiQWhhhC4CjGSe/agqkH4LQMOWddBuESRSjWqICNJcPuB6VqSyM7ao1V8QglmjDB8E6WJAAA5H9adNl4TKGxcx+YYIJO49RmvOxWoYMC2BvgZ2GaPLBmHQroV9TypZNMMISSwbLeBWQ/6YjG+dhVJPBI2xlk8vLnWgmkRJkH2e1T5TyJpGV2GOfBTqOWhkzsAQRXL4POoQo0MWkDKxgYOOmeZrYwO5pbxCUwWMjo5DkYXbOM1gPTVGEJ4CsqjyA7cs4Nc5lFu3mXRkkgMVxt+dL4dZNSAuvYqN6JGGYZdGGN9zn9aeiVMYjdZlGpsgcnbmfWji2hRcfYZcHykCUftWekzQyMOEjhSNOpSce7etu1uZZbVZGGon2vfSyVBjHdyhYR28cYSK0uosHmApHrUm2tRIZF+2Bm3IMYpk3LjoBVftrr1A/9anQ/816POXlnd/8AFZbiGGRoyhXJ58u1aMaTMmoFEJJPmyMb1opfkZDnVkdsVSe/VIWZVkkkAOlcczRyTegmYF1NLDJIZBpRn29Tjn7q6l7uS5lMbXUWogHOBjcnNdVUkJsro2rvxGO6R40mkD5wC48oPUEetJ/ZZicJcQqOoNMTpG5LWo0zZ9pQAG9cUqtvMgOq3LHOSQcf3rS1Q3yyyWs7kahJIuAQMoTt8D8aPA8sVwgedxHnmozg9vSht9oliKrE42/Hv+1EtLd+E32nUuk8gMbd61h2oce4QbmV3UbIWO49OQpQYkYMSSQSQABmjtarIwzLHpbkud6IlskTElgNvpQbCo4M9InjYvBGFcH2juab8PuXiiPHdtTnOc5oizZOI1eT/wARz+NNWSS8R3lgCLjygnzfGtdjLTsF9rm1koHO/VKuLq81aSj49E/cU5zGfKB6VIIArZG/n9iw47e1Erg9SoBFWWzthnEGnJyaYWQHYhh6GrHY8se+juHUBcWduPw/U1WSwtJVKvHkHbmabHwqSfStuQ1Cq2NuBhYx8TU/Ybf/AOtaYJGewqaNo21C4tLVT/0V+VEVYl9mMAf+Iq5GajFC0Gi3EJ71YOP6KCRneowe9AwfK/6RVZYYZ1CTJqXnihAtnbnVg2/mJyawAZ8LtMHShT3MRVW8Lj6SOP8A3JpnJXnvVg+Bvhfedq1AoQfwwj8cmP8A1/ai20L28eksWU74wNqb4iYJ5AdxiqNdWo5zIB1yeVBo10VIU/hoRiibmtFN5bhtPmPqBt86qLq2l8ysVA55T1pbQdyANaxHlmqNaRjka0BGkg1I4I9Ko0I9ocsc6NGM02seeYrqdNvk966tTNSPJlpnn1GVBvybYY75p9fEZY8ASQYPqTn44rQgRSACoO56VS+ijSFdEaL5xyXFOzlin7M17yeTWzSRgH/UxHy/mqwzskuW0SEb6y5wfTl/c16FI0wBoXGO3pTaRoAvkX2e3qaGGPT9mNarLcprVI0CnGQC2fdypmOxVxmZWk6aWxj5VpLs222+NqhNthy3rUPFAUhVECxqqj0qzRK3PBzzGc12diaqhJByTWKJFtCYxoyOwrsxI2cAE+lQ2w2oT86wwbI/Dy7b1JYf6aApPc1bJ71jBdXpVS/P0qvSqdTWMFBU7jFTnIwaEeYq67E47UDE56Yqc96j8JqlYxYhcYG1Qo1KGU5B5YqD1og/EO1YUjhnqanR/vV0AxyFSfbI9KJgYUaSMVOD76t+A++uP61jHAEYwu/el7qKDgTSTxK40ksGGdXv70eTYrjvXPupB3GOVYzWDyAvZuIArRqNYACgDHQ/Lfr0FWeZyNK3MOzHD68Hvy6Zr0UcEIiQiJM4P4R/qq4gh4h+5j6fhFGl6Oan7PLx3l4nnW9VWGxGcKfX3bfl3pweLXgjETXNtqJPn1ZYD5YrdEEPDU8JM7fhHrQ/s8Hn+5j2/wC0UaSDtfsX8JvJ7iErKVdkx51bIP8ANdTyoqIwVQo1cgMV1BlksH//2Q==",kurunagela,dalada maligawa kurunagela,Kurunegala
Dandeniya Wewa,Essence,Matara,"You can have a bath in here. But do not go to the middle deep area. There is no proper place to change clothes. Visitors are advised to take care underfoot, as conditions can be slippery.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1cketaOneBziSau2PIrVjKV_D_je_6L4lOpCo0PpXAw&s=10,matara,dandeniya wewa,Matara
Deduru oya dam,Essence,Kurunagela,"Great view. But hard to see arround if you go there in noon. Better to go before 11.00 a.m . It remains a relatively quiet, less-touristy spot.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbjy0ByeT4gFmK-BUcdpS9DGtVxgHSOQj6_y94tFvI1A&s=10,kurunagela,deduru oya dam,Kurunegala
Deduru oya resovir park,Essence,Kurunagela,Good place for relaxing in a evening. Better to reach there around 5.00pm. You can stay till sunset. The spot is also known for its scenic views.,Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0MIUspIgSOmIsbV4kgQiX7nEFBsX6TM_RJ9LTEnMJPA&s=10,kurunagela,deduru oya resovir park,Kurunegala
Dehena Ella,Scenic,Rathnapura,"Dehena Ella is situated on the Rathnapura-Wewelwatte road, hence is closely accessible. During rainy season, a large stream of water gushes down the waterfall, creating a dreadful sight. During such instances, it is not advised to stay close to the waterfall as water could bring down debris resulted from heavy rain. It draws a steady stream of local visitors, especially on weekends.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbgiWaAii-rLTVl6ZNNJNWExUfcLonWEuAEGkB_oMWmg&s=10,rathnapura,dehena ella,Ratnapura
Dehiwala Zoological Gardens,Essence,Colombo,"Very good zoo. Heaps of different animals amazing collection. Destroys the auckland zoo to bits which is a bore feast in comparison. It draws a steady stream of local visitors, especially on weekends.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQtJAow6EblLqR7pVqppndDb1hFxcwfNqJT89iZ1pHXQ&s=10,colombo,dehiwala zoological gardens,Colombo
Delgamuwa Rajamaha Viharaya,Heritage,Rathnapura,"Delgamuwa Rajamaha Viharaya located in Kuruwita in Ratnapura district, is the temple where sacred tooth relic of Lord Buddha was hidden for 43 years to protest it from Portuguese invasions in the 16th century. Sacred tooth relic was shifted to present Dalada Maligawa in Kandy by King Wimaladharmasuriya in A.D 1592. It remains a relatively quiet, less-touristy spot.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQArm0OAvHP243RVKdxJo6UTQ3XtKejUNBPYiiPpMd7w&s=10,rathnapura,delgamuwa rajamaha viharaya,Ratnapura
Devon Waterfall view point,Scenic,Hatton,"The height of Devon Falls is about 97 meters. This waterfall has been created in the vicinity of Kotmale Oya. Edward Barnes, the English governor, started coffee cultivation in this country in 1823 and at that time, this fall was located near the coffee estate called Devon, so this fall also got its name. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm6x0mHTFdho0_sf1cy0Igid4I_dp028qAh1xYiUnRaw&s=10,hatton,devon waterfall view point,Hatton
Diva Guhawa,Essence,Rathnapura,"Batathota cave also known as Diva Guhawa is in 8km away from the Kuruwita Town in Sabaragamuwa province. It is believed that in this cave the Lord Buddha spent the day after placimh His footprint on the Adam's Peak (Sri Pada). If there is a clear sky we can see the view of Samanala Mountain (Sri padha) here. It draws a steady stream of local visitors, especially on weekends.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfvBecuimkDAQWFK_xjGc06z-eQk6QFuTWGHFZY9ipnA&s=10,rathnapura,diva guhawa,Ratnapura
Diyaluma Falls,Scenic,Badulla,"At 220 metres, Diyaluma is Sri Lanka's second-highest waterfall, dropping in a single sheer plunge near Koslanda in the Badulla District. A short hike from the main road leads to a series of natural rock pools at the top, which are popular for swimming with sweeping views over the surrounding hills. Visitors are advised to take care underfoot, as the rocks near the pools can be slippery, especially in the wet season.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmMx7k3cPTCR_VvVPLaUMUFEaHYYQAp7Y___wy77E4gA&s=10,badulla,diyaluma falls,Badulla
Dolukanda rajamaha viharaya,Heritage,Kurunagela,Such a good place. There are Monks in the temple. They are very good and always give help to anyone specially who are hiking the dolukanda they always give advice how to protect and where is the water tank situated. The spot is also known for its scenic views.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb0FVhLcic_gesAywJF0AP8hXTle5UuiqxUSiPxOiSLg&s=10,kurunagela,dolukanda rajamaha viharaya,Kurunegala
Dondra Head,Essence,Matara,"Awesome place to visit and spend some time enjoying the sea view plus the nice view of Devundara Light house. Unlike other sea sides ,even at bright sunny afternoons this place is comfortable to stay because there are many trees around. Located slightly more than a kilometer from Devundara temple. It's a popular local spot for a refreshing bath or swim.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhjXucZDe8gmLRC9RVOq7n2EtUHrz7SdtH1A4xBxqSLA&s=10,matara,dondra head,Matara
"Dry Zone Botanic Gardens, Hambantota",Essence,Hambantota,It is very nice place. There are many varieties of trees and vines. The entrance ticket is Rs.100.,Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBGoFhoiz9HpLyowH18X8S0lrn4VT--HcfO-pWNSkkYg&s=10,hambantota,dry zone botanic gardens hambantota,Hambantota
Dumbara ella waterfalls,Scenic,Matale,"Beautiful location. We camped there for 2 days. For rain waterfall water speed increase. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQplBjCgHgxHQl7RsCkLvbqadxvpmqD0hGbNq7eN-8t_Q&s=10,matale,dumbara ella waterfalls,Matale
Dumpus Ella,Scenic,Rathnapura,"This is a waterfall you can see when you travel by Sripada Erathna road. There is no name board at the moment. You can travel along the water stream around 500m to see the waterfall. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_x2eMGCbvjEB-BFenSPK3h01JgVvof1kA-lIBl2q8DQ&s=10,rathnapura,dumpus ella,Ratnapura
Dunhida Waterfall access point,Scenic,Badulla,"The enterance for the dunhinda falls. You want to make like 20-25 mins hike for the view point. There is a small parking fee if you bring your vehicle. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNdkoGOCqmPv0DgDYAp_Pqdi4vOvaTLD7OmuwUQdQ33A&s=10,badulla,dunhida waterfall access point,Badulla
